01072024;220;A;USD;5,5887;5,5893;1,0000;1,0000
02072024;220;A;USD;5,6671;5,6677;1,0000;1,0000
03072024;220;A;USD;5,5857;5,5863;1,0000;1,0000
04072024;220;A;USD;5,4833;5,4839;1,0000;1,0000
05072024;220;A;USD;5,4964;5,4970;1,0000;1,0000
08072024;220;A;USD;5,4714;5,4720;1,0000;1,0000
09072024;220;A;USD;5,4381;5,4387;1,0000;1,0000
10072024;220;A;USD;5,3961;5,3967;1,0000;1,0000
11072024;220;A;USD;5,4094;5,4100;1,0000;1,0000
12072024;220;A;USD;5,4523;5,4529;1,0000;1,0000
15072024;220;A;USD;5,4557;5,4563;1,0000;1,0000
16072024;220;A;USD;5,4268;5,4274;1,0000;1,0000
17072024;220;A;USD;5,4664;5,4670;1,0000;1,0000
18072024;220;A;USD;5,5420;5,5426;1,0000;1,0000
19072024;220;A;USD;5,5537;5,5543;1,0000;1,0000
22072024;220;A;USD;5,5592;5,5598;1,0000;1,0000
23072024;220;A;USD;5,5801;5,5807;1,0000;1,0000
24072024;220;A;USD;5,6340;5,6346;1,0000;1,0000
25072024;220;A;USD;5,6396;5,6402;1,0000;1,0000
26072024;220;A;USD;5,6459;5,6465;1,0000;1,0000
29072024;220;A;USD;5,6473;5,6479;1,0000;1,0000
30072024;220;A;USD;5,6526;5,6532;1,0000;1,0000
31072024;220;A;USD;5,6615;5,6621;1,0000;1,0000
